Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2018-05-14,185.34530639648438,186.55684465620774,184.90835618439513,186.4078912443324,15646700
2018-05-15,183.04141235351562,184.0046696960543,181.92917128948,183.59752530906263,15429400
2018-05-16,181.92916870117188,183.04140974938363,181.39292125964974,182.4257002834092,16975500
2018-05-17,182.4852752685547,182.78319723806908,180.95596471602732,181.41276527006735,14840700
2018-05-18,181.41278076171875,182.9123159135816,181.3432742162297,182.21717469398067,13130500
2018-05-21,183.21023559570312,184.0146143648685,181.85966903483845,182.49522887801348,13532900
2018-05-22,182.52499389648438,184.13375120860323,182.1575502594038,183.6471448529775,12731400
2018-05-23,185.60350036621094,185.613440695791,180.91624099272752,181.23402848046132,16628100
2018-05-24,184.64022827148438,185.5042035350073,183.7464774779823,184.5905872352443,12354700
2018-05-25,183.63722229003906,185.037444864625,183.17048143184374,184.72959773537704,10965100
2018-05-29,184.4515380859375,185.51410767983967,182.43562128783196,183.06124071118006,16398900
2018-05-30,186.36814880371094,186.69586144268123,183.96493793753564,185.2459826599284,13736900
2018-05-31,190.44964599609375,191.38312776343545,186.17947150343542,186.56676551829625,30782600
2018-06-01,192.64431762695312,193.20043054253244,190.73763827942096,191.73070138665275,17307200
2018-06-04,191.93927001953125,192.634411286657,190.14182790276925,190.5092564683336,18939800
2018-06-05,191.6016082763672,193.64731595895012,191.28382079215095,192.95217477840367,15544300
2018-06-06,190.01268005371094,191.19442750583673,187.7981536984906,189.70483293316178,22558900
2018-06-07,186.87461853027344,189.6452732375822,185.47441098824973,189.426798129732,21503200
2018-06-08,187.7882537841797,188.16560748935305,185.136761753555,186.22913731497124,12677100
2018-06-11,190.2113037109375,191.26396334867428,187.49032045467757,187.5002456308384,12928900
2018-06-12,191.0653533935547,191.93925385746576,190.23118394324425,190.83695310064772,11562700
2018-06-13,191.07528686523438,193.1507852395862,190.5787552836416,191.40299952743857,15853800
2018-06-14,195.44473266601562,195.91147350272374,191.57179290709635,191.76047730741743,19120900
2018-06-15,194.49142456054688,195.7029628193445,193.2898114782196,194.4318280429011,21860900
2018-06-18,196.93434143066406,198.19553581365187,192.78334493566004,193.44869539597664,16826000
2018-06-19,196.12005615234375,196.58679706698288,192.44571020255623,194.878727156589,19994000
2018-06-20,200.5987548828125,202.13800578502625,197.43088103222226,197.71887782933467,28230900
2018-06-21,200.10223388671875,201.9791227200348,198.7020111444034,201.35348805794885,19045700
2018-06-22,200.34054565429688,200.83707718051684,197.92739455733914,199.76456726552894,17420200
2018-06-25,194.9879608154297,198.61263534937925,191.7704306677108,198.61263534937925,25275100
2018-06-26,197.61956787109375,197.71888024778335,194.868778688557,196.22928551508667,17897600
2018-06-27,194.4814910888672,199.35743497834366,194.44177522864408,197.79831849987062,18734400
2018-06-28,194.8687744140625,195.97107509819645,191.91937569578354,193.82605509345888,18172400
2018-06-29,192.97203063964844,196.2292764253612,192.61452731424384,195.95121996703992,15811600
2018-07-02,195.9909210205078,196.0802930568734,190.8865776312364,192.02859405930138,13961600
2018-07-03,191.39305114746094,194.0445278632857,191.1845163776106,193.2004333018475,13489500
2018-07-05,197.0733642578125,197.27197384227958,192.68402728344807,193.3891087341872,19684200
2018-07-06,201.82022094726562,202.22738047792387,196.32858290692408,197.0733802739101,19740100
2018-07-09,203.31976318359375,204.3724077415996,200.71792731913249,203.50843246141565,18149400
2018-07-10,202.12806701660156,203.48857383699604,200.85694739600112,203.08141430852248,13190100
2018-07-11,201.13497924804688,203.08138945238997,200.3504661223456,200.81720695826104,12927400
2018-07-12,205.48463439941406,205.64352814724924,201.7805129265396,202.01883839535054,15454700
2018-07-13,205.88186645507812,206.98415204182376,205.01789118152328,206.36845771705956,11486800
2018-07-16,205.79249572753906,207.27216544431658,205.40520166112654,206.06062705134553,11078200
2018-07-17,208.53334045410156,209.00008135608186,203.41905603853525,203.4786374042448,15349900
2018-07-18,207.90769958496094,209.52639735201208,206.99408331456465,208.36451529662958,15334900
2018-07-19,206.64651489257812,208.53334403915423,206.31880222260003,207.3218057390928,11350400
2018-07-20,208.4836883544922,210.03286450509455,207.0536749376464,207.40125311502538,16163900
2018-07-23,209.4469451904297,210.15201151632886,207.35158141197147,209.11923254417522,16732000
2018-07-24,213.1808624267578,214.70024781858933,211.12522960666732,213.61781263279005,28468700
2018-07-25,215.99122619628906,217.10345202937037,212.7836365972089,214.22357507459606,58954200
2018-07-26,175.0373077392578,178.88047248591084,172.5447246539914,173.6768160542366,169803700
2018-07-27,173.67681884765625,178.68185060478314,171.79993004461596,178.62226923848687,60073700
2018-07-30,169.87338256835938,174.0839758427191,165.40459832617688,174.0839758427191,65280800
2018-07-31,171.3828125,173.0313006988303,168.82070816942897,169.48605855386174,40356500
2018-08-01,170.45925903320312,173.86547302559893,169.71446177820292,172.7234414761686,34042100
2018-08-02,175.14651489257812,175.56359953049036,169.08883973858946,169.49598404870986,32400000
2018-08-03,176.5467529296875,177.60933769737173,174.92805526236816,176.45738088930472,24763400
2018-08-06,184.4019012451172,184.5011984696972,177.14261194478343,177.7285155745118,49716200
2018-08-07,182.534912109375,186.99377054445034,182.44554007387515,185.2062540697576,33398600
2018-08-08,183.89541625976562,185.55384495940547,182.48526848627748,183.46840640325328,22205200
2018-08-09,181.8199005126953,185.2757706529162,181.21413147831225,184.56076408272835,19732100
2018-08-10,179.00955200195312,180.83679965333116,178.17538262044135,180.77720313784548,21500400
2018-08-13,178.80104064941406,181.34328013721313,177.659008823621,178.85069684235162,17423300
2018-08-14,179.8536376953125,180.7275379704496,177.38090540931157,179.45641856276214,19102000
2018-08-15,178.2846221923828,179.6153231474566,173.56757233346266,178.09593777355548,33020200
2018-08-16,173.4881134033203,179.24788217699165,172.80289746803487,179.16843531390668,31351800
2018-08-17,172.59439086914062,174.9976020460079,170.84658990200643,173.28953209336797,24893200
2018-08-20,171.3033905029297,173.35903846237647,169.7244237576085,172.8327010609952,21518000
2018-08-21,171.4225616455078,172.96181260835425,170.201098174346,171.61124607457785,19578500
2018-08-22,172.43548583984375,173.03132979475197,170.9359659290111,171.0154127998616,16894100
2018-08-23,171.7006072998047,174.33223365823537,171.63110076096905,171.88929171697956,18053600
2018-08-24,173.43849182128906,173.60732590961484,171.72049662903333,172.4950847574697,14631600
2018-08-27,176.22897338867188,177.43057117899147,174.57054478064495,174.76916951059414,17921900
2018-08-28,175.0373077392578,177.00358371305845,174.61029785237488,176.86455547628944,15910700
2018-08-29,174.6798095703125,175.56363520587774,173.53779295965174,175.07704393923842,18494100
2018-08-30,176.40771484375,178.54279428255865,174.4811701541776,174.67977972823945,24216500
2018-08-31,174.510986328125,176.38787511015445,173.76618895187613,175.9211342088032,18065200
2018-09-04,169.9727020263672,172.68376033673212,167.62907225339043,172.29646629239426,29809000
2018-09-05,166.02027893066406,169.94289023058582,165.51382221342868,168.31426738069982,31226700
2018-09-06,161.4025421142578,165.82166981524483,158.8900937195526,165.82166981524483,41514800
2018-09-07,161.90899658203125,163.48797838265241,159.04898523883918,159.19793863845442,24300600
2018-09-10,163.04110717773438,163.8653514433675,161.0351304450743,162.37575665912632,20197700
2018-09-11,164.78887939453125,166.03020816524705,162.5842782855049,162.802753361386,20457100
2018-09-12,160.876220703125,163.34895325417597,160.67761111556104,162.11754956657504,24078100
2018-09-13,160.2406768798828,162.18708739879207,159.7441452850831,160.87623671510877,25453800
2018-09-14,161.1940155029297,161.710397423513,159.22773958360546,160.5981715601755,21770400
2018-09-17,159.466064453125,160.93579350647497,158.66168581685196,160.79676528727887,21005300
2018-09-18,159.18801879882812,160.6378824468161,157.76793067882136,158.28432773636385,22465200
2018-09-19,161.9288787841797,162.30624763937197,158.37371080167262,158.96955476745606,19629000
2018-09-20,164.86834716796875,165.29535704585095,163.32909626643743,163.35888694847847,18936000
2018-09-21,161.7997589111328,166.089798651967,161.68059619153405,165.4840295724401,45994800
2018-09-24,164.26255798339844,164.55053959227072,159.76398370932367,159.91293710133706,19222800
2018-09-25,163.76605224609375,164.44132793341424,160.03212500063188,160.86630958600753,27622800
2018-09-26,165.79190063476562,168.12560525008192,163.07091712484342,163.16028917744478,25252200
2018-09-27,167.66876220703125,170.5784448314198,166.0500797348795,166.38771753614407,27266900
2018-09-28,163.31915283203125,167.6191024239515,161.43232398036858,167.1623019150956,34265600
2018-10-01,161.3131866455078,164.72932643590048,160.14136420441187,161.89909028958493,26407700
2018-10-02,158.22476196289062,161.15429538134754,157.56933661216087,160.45915416978957,36031000
2018-10-03,161.30320739746094,162.52468573382254,158.42333090894996,158.89007170682382,23109500
2018-10-04,157.7480926513672,160.33998816463247,156.25849787714444,160.33998816463247,25739600
2018-10-05,156.2386474609375,159.78387548647305,155.11648110703086,158.1056112738916,25744000
2018-10-08,156.1591796875,157.24161487978859,153.3190184842043,154.4610350407743,24046000
2018-10-09,156.80467224121094,159.47601465702692,156.3280061510065,156.59613745615854,18844400
2018-10-10,150.3299102783203,156.5961365713776,150.26038858173445,155.7321764465869,30610000
2018-10-11,152.28622436523438,153.73608792865198,148.12528777256057,149.08856014068053,35338900
2018-10-12,152.6735382080078,155.80168115276192,150.25046163291145,155.6427874078182,25293500
2018-10-15,152.45506286621094,154.49084540551436,151.49179037424213,152.25645326180265,15433500
2018-10-16,157.67857360839844,158.35386446360545,153.93472110336418,154.32201514506139,19180100
2018-10-17,158.3141326904297,159.37671758223593,156.85432858189583,158.45316093157854,17592000
2018-10-18,153.84535217285156,157.55941406947483,152.2167290987112,157.41044549475907,21675100
2018-10-19,152.9813995361328,156.258511352624,152.48486790190515,154.7788416275661,19761300
2018-10-22,153.706298828125,156.24853783086309,153.3885265292526,153.6864333241518,15424700
2018-10-23,153.31903076171875,153.69639963630817,149.80359361113565,150.1710221555881,19095000
2018-10-24,145.02691650390625,153.57718969632913,144.58998150438737,153.20976122855268,27744600
2018-10-25,149.9028778076172,151.15414706069078,145.9802814389943,146.7052132876706,22105700
2018-10-26,144.361572265625,147.96639602442247,142.8024711400641,144.80846276523178,31303300
2018-10-29,141.10433959960938,147.7975906976604,138.0655687796354,147.46987803922033,31336800
2018-10-30,145.2056884765625,145.6227731624568,138.7706437967156,138.9692533871976,50528300
2018-10-31,150.737060546875,155.31508262909338,147.92670494928095,153.92480017258245,60101300
2018-11-01,150.6973114013672,151.69037440895445,148.31396624433333,150.46891115244503,25640800
2018-11-02,149.3070526123047,153.0608301560605,147.92669542190708,150.74699116800932,24708700
2018-11-05,147.64862060546875,149.1481556470227,146.41723200788547,149.05878360099314,15971200
2018-11-06,148.89988708496094,149.92274088940104,146.97334220189796,148.27425246853886,16667100
2018-11-07,150.47886657714844,151.9485958810038,148.79066215547027,150.51859759108459,21877400
2018-11-08,146.84425354003906,149.89296489983917,145.72210240507616,149.4460894812828,24145800
2018-11-09,143.95443725585938,146.73500188328592,143.0706116807972,145.73201358217426,17326900
2018-11-12,140.56808471679688,144.0338652349862,139.51544025615692,143.4777523239266,18542100
2018-11-13,141.17384338378906,143.87497602618785,140.63758086421353,141.01494966295635,15141700
2018-11-14,143.2195587158203,144.57012511173735,140.56808210861098,142.70316167101495,22068400
2018-11-15,142.85215759277344,143.83528053316786,139.85310227156623,141.34269717804793,30320300
2018-11-16,138.56210327148438,140.78657023334137,136.81431754263056,140.09142904305526,37250600
2018-11-19,130.63746643066406,136.79445521368626,130.29982858081726,136.65542697239982,44362700
2018-11-20,131.51133728027344,133.22934733014625,125.97005101536298,126.14880267400333,41939500
2018-11-21,133.88478088378906,136.23833569555546,133.19956488721374,133.4676810270502,25469700
2018-11-23,130.8162078857422,133.56699712512034,130.3494669809507,132.72288736464,11886100
2018-11-26,135.4339599609375,136.04965427733893,131.85892648809363,132.07740159770862,24263600
2018-11-27,134.06353759765625,135.66237002253118,132.78249268346224,134.80833502875436,20750300
2018-11-28,135.81130981445312,135.84110049647117,130.93538130456,135.33464374922332,29847500
2018-11-29,137.71800231933594,139.01892788719684,134.71896225620603,134.97715324255222,24238700
2018-11-30,139.6345977783203,139.99210108682033,136.40714282625675,137.3008935210369,25732600
2018-12-03,140.1112823486328,142.68331238335657,139.78356967639107,142.0080366851191,24819200
2018-12-04,136.9731903076172,142.39532166709137,136.2085426072989,139.75377010342598,30307400
