Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2018-01-02,104.00244140625,104.38001705700701,103.52372980480567,104.17100849835106,4395815
2018-01-03,106.86125183105469,107.75125468202415,105.40487472465892,106.08586901038251,9875914
2018-01-04,109.02556610107422,109.44359393735168,107.45456917351265,107.64335697971204,7903785
2018-01-05,109.5582275390625,109.83467800676426,108.62102504843698,109.52452272903324,5434807
2018-01-08,110.218994140625,110.5156653523322,109.02558339756446,109.67286212804053,5478425
2018-01-09,110.46173858642578,110.93370283684946,109.94256392109438,110.50892747846372,4541523
2018-01-10,110.69769287109375,110.79882880593532,109.56495533486371,109.84139499162158,4366109
2018-01-11,110.71119689941406,111.2101292458913,110.10437041955933,111.11574071169481,3969047
2018-01-12,109.99646759033203,111.07526883464081,109.92231056444066,110.58980988891662,5263367
2018-01-16,110.47518920898438,111.44609633310556,110.1380658399534,111.31799225084602,8152733
2018-01-17,113.71158599853516,114.03521457383762,112.77438355798989,113.28006329574347,12248660
2018-01-18,114.02845764160156,115.38368770695692,113.37444242734722,114.62178914582891,14915228
2018-01-19,109.47731018066406,111.52027125562343,108.75586375726093,110.88648745998046,22146435
2018-01-22,109.63236236572266,110.56282791906327,108.6277397957614,108.89744276347965,8870917
2018-01-23,112.09339141845703,112.10013883708912,109.5717185780056,109.78072713410182,7809645
2018-01-24,111.50005340576172,113.75877049587707,111.1292144380864,112.43050839192378,5904670
2018-01-25,111.56745147705078,112.45071740464823,111.37866370254828,111.86412259188205,3454415
2018-01-26,112.82830047607422,112.87550011320432,111.78321484902152,112.00571819997958,3962143
2018-01-29,112.46424102783203,113.53629510694621,111.93158231719244,112.90250043730728,3678782
2018-01-30,110.320068359375,112.44394377928272,110.00992400590043,112.06636831828311,5127806
2018-01-31,110.37403869628906,111.24380977096533,109.74024426347837,110.4077434957383,4260149
2018-02-01,109.49752044677734,110.66396263233736,109.16039712152858,110.03016819812642,4638173
2018-02-02,107.22532653808594,109.22783532789447,107.11744318226522,109.02556345198363,5493487
2018-02-05,102.84272003173828,106.86796900324002,101.13688244185948,106.45667784379935,9148944
2018-02-06,104.73735809326172,104.8384940305451,100.53680532207942,101.33241950756941,10321614
2018-02-07,103.73272705078125,104.7373496865912,103.34840406309266,103.9484829822395,6432063
2018-02-08,100.49173736572266,104.2842601922896,100.43045616434547,103.82126599057416,7090939
2018-02-09,101.79901885986328,102.5003238644263,98.31969490357884,101.17940399397816,8188402
2018-02-12,103.08587646484375,103.76676162596594,102.33690713456348,102.74543388428266,6151944
2018-02-13,102.64332580566406,102.93611496885109,101.88755331832675,102.74545751658499,5115986
2018-02-14,105.37364196777344,105.537054818304,102.13262948840368,102.2619948254201,5731034
2018-02-15,106.22474670410156,106.80350011783143,104.65189931934611,105.87750117629417,5882286
2018-02-16,106.34049987792969,107.43672557388884,106.00687116790871,106.02048800092683,4479913
2018-02-20,105.64599609375,106.19070200718978,104.76766147607063,106.0749534948492,4696122
2018-02-21,104.82897186279297,106.7558683458417,104.78811048567795,105.82986912174775,3900116
2018-02-22,104.2978515625,105.56430405781865,104.03230699963059,105.19662780672144,4209732
2018-02-23,105.89114379882812,106.11582702218615,104.90385256986303,105.06046248192168,3405881
2018-02-26,107.97467041015625,108.1789338520708,105.88434988848248,106.08861333039702,3776374
2018-02-27,106.59246063232422,108.79171568880395,106.57884379508504,107.8929500940772,4432216
2018-02-28,106.10220336914062,107.67505103590894,106.0817835505402,107.23927971815571,3978461
2018-03-01,104.72686004638672,106.87846213334568,104.03235770748928,105.89798440758787,4225108
2018-03-02,105.18982696533203,105.37367054731007,103.41271580909144,104.0323198657491,3411111
2018-03-05,106.86482238769531,107.2324987392002,104.68598708659079,104.9379148843204,3839448
2018-03-06,106.02730560302734,107.50482456198687,105.64601249117705,107.08949479659057,3855242
2018-03-07,107.79761505126953,108.14486064660258,105.35323557932409,105.53707915383194,4819654
2018-03-08,106.36094665527344,108.64871622449496,105.58473271886348,108.26060925628998,6752558
2018-03-09,108.47169494628906,108.6555276678554,107.10312140894358,107.21886994981631,5253221
2018-03-12,109.11852264404297,109.63599497179365,108.17209284898071,108.69637902786648,5296421
2018-03-13,108.4784927368164,110.37815520447116,108.13123629822553,109.00276801900141,4378138
2018-03-14,107.66143798828125,109.40450158583805,107.40269638202273,109.05724511616755,3798863
2018-03-15,108.67593383789062,109.79259022105255,107.93376753252458,108.06314374773527,4048648
2018-03-16,109.11852264404297,110.28964651577054,108.69637902786648,108.98234342781674,9688784
2018-03-19,107.13713836669922,108.86658491220204,106.52434825096654,108.74402254210143,5734172
2018-03-20,106.35415649414062,107.53209449621663,105.73455232419853,107.25292214645529,4536188
2018-03-21,106.68775939941406,107.71589009287865,106.16347327708162,106.6060475315379,3642381
2018-03-22,103.5556869506836,105.70727693189555,103.49440576967052,105.53706108897877,4964630
2018-03-23,101.37686920166016,103.88933283438426,101.13855828825878,103.6646387559727,4645181
2018-03-26,104.42723846435547,104.62468801033987,102.32330156347331,102.95652244219087,4292679
2018-03-27,103.43315124511719,105.44857341835763,102.92248184998981,104.82215548143499,4062350
